idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-13T00:08:13.614293+00:00,Placas11475.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0001_Placas11475.jpg.png,17708,37,515107,1359534,94673851,211,96548703,1287.767,3398.835,236684.609,0.527,241371.75
2,2026-09-13T00:08:16.940427+00:00,Motospl12125.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0002_Motospl12125.jpg.png,21311,36,565921,1357636,94638787,265,96562609,1414.802,3394.09,236596.953,0.663,241406.516
3,2026-09-13T00:08:20.306083+00:00,Motospl10111.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0003_Motospl10111.jpg.png,24652,38,947862,1355866,94540665,197,96844590,2369.655,3389.665,236351.656,0.493,242111.484
4,2026-09-13T00:08:23.671830+00:00,Motospl11826.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0004_Motospl11826.jpg.png,28027,37,874546,1355388,94615927,197,96846058,2186.365,3388.47,236539.828,0.493,242115.156
5,2026-09-13T00:08:27.021707+00:00,Motospl10004.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0005_Motospl10004.jpg.png,31368,36,494998,1355684,94592819,199,96443700,1237.495,3389.21,236482.031,0.498,241109.234
6,2026-09-13T00:08:30.356221+00:00,Motospl11428.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0006_Motospl11428.jpg.png,34709,37,488410,1360130,94592763,197,96441500,1221.025,3400.325,236481.906,0.493,241103.75
7,2026-09-13T00:08:33.702366+00:00,Placasm10495.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0007_Placasm10495.jpg.png,38050,36,592172,1358274,94565725,209,96516380,1480.43,3395.685,236414.312,0.522,241290.969
8,2026-09-13T00:08:37.042227+00:00,placaas10612.jpg,0,Class1,1,Class2,1,Class2,1,Class2,frame_0008_placaas10612.jpg.png,41391,37,518169,1355544,94616639,197,96490549,1295.422,3388.86,236541.594,0.493,241226.375
9,2026-09-13T00:08:40.373664+00:00,Placas11096.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0009_Placas11096.jpg.png,44733,37,562375,1355808,94580805,213,96499201,1405.937,3389.52,236452.016,0.533,241248.0
10,2026-09-13T00:08:43.724926+00:00,placaas11188.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0010_placaas11188.jpg.png,48074,36,548684,1357870,94618191,279,96525024,1371.71,3394.675,236545.469,0.697,241312.562
11,2026-09-13T00:08:47.094963+00:00,Motospl11261.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0011_Motospl11261.jpg.png,51448,36,910421,1359022,94581349,209,96851001,2276.052,3397.555,236453.391,0.522,242127.5
12,2026-09-13T00:08:50.437905+00:00,Motospl11833.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0012_Motospl11833.jpg.png,54789,36,517523,1358390,94590627,199,96466739,1293.807,3395.975,236476.562,0.498,241166.844
13,2026-09-13T00:08:53.805237+00:00,Motospl10615.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0013_Motospl10615.jpg.png,58163,37,972052,1359738,94575663,283,96907736,2430.13,3399.345,236439.172,0.707,242269.328
14,2026-09-13T00:08:57.147410+00:00,Placas11415.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0014_Placas11415.jpg.png,61504,37,547795,1359784,94639391,211,96547181,1369.488,3399.46,236598.484,0.527,241367.953
15,2026-09-13T00:09:00.497502+00:00,Motospl10563.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0015_Motospl10563.jpg.png,64846,37,612147,1355290,94670917,197,96638551,1530.368,3388.225,236677.297,0.493,241596.375
