idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-12T23:49:38.056932+00:00,Placas11475.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0001_Placas11475.jpg.png,17975,38,554838,1358832,158412111,263,160326044,1387.095,3397.08,396030.281,0.658,400815.125
2,2026-09-12T23:49:41.590678+00:00,Motospl12125.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0002_Motospl12125.jpg.png,21971,39,972368,1357826,158392971,291,160723456,2430.92,3394.565,395982.438,0.728,401808.656
3,2026-09-12T23:49:45.097468+00:00,Motospl10111.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0003_Motospl10111.jpg.png,25476,38,621429,1357692,158377627,327,160357075,1553.573,3394.23,395944.063,0.817,400892.656
4,2026-09-12T23:49:48.629760+00:00,Motospl11826.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0004_Motospl11826.jpg.png,29014,38,988244,1354480,158416361,277,160759362,2470.61,3386.2,396040.906,0.692,401898.406
5,2026-09-12T23:49:52.146807+00:00,Motospl10004.jpg,1,Class2,0,Class1,0,Class1,1,Class2,frame_0005_Motospl10004.jpg.png,32519,37,670620,1356183,158422997,233,160450033,1676.55,3390.458,396057.469,0.582,401125.063
6,2026-09-12T23:49:55.677272+00:00,Motospl11428.jpg,1,Class2,0,Class1,1,Class2,1,Class2,frame_0006_Motospl11428.jpg.png,36057,36,784987,1357644,158381761,211,160524603,1962.468,3394.11,395954.406,0.527,401311.5
7,2026-09-12T23:49:59.181998+00:00,Placasm10495.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0007_Placasm10495.jpg.png,39562,38,601393,1358068,158447789,217,160407467,1503.483,3395.17,396119.469,0.543,401018.656
8,2026-09-12T23:50:02.680854+00:00,placaas10612.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0008_placaas10612.jpg.png,43067,37,498546,1357727,158386655,279,160243207,1246.365,3394.318,395966.625,0.697,400608.0
9,2026-09-12T23:50:06.218053+00:00,Placas11096.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0009_Placas11096.jpg.png,46604,38,975651,1358628,158393683,215,160728177,2439.127,3396.57,395984.188,0.538,401820.438
10,2026-09-12T23:50:09.727940+00:00,placaas11188.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0010_placaas11188.jpg.png,50110,38,621802,1359830,158437429,307,160419368,1554.505,3399.575,396093.531,0.767,401048.406
11,2026-09-12T23:50:13.227842+00:00,Motospl11261.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0011_Motospl11261.jpg.png,53615,39,649547,1358358,158423181,297,160431383,1623.868,3395.895,396057.969,0.743,401078.438
12,2026-09-12T23:50:16.735769+00:00,Motospl11833.jpg,1,Class2,0,Class1,1,Class2,1,Class2,frame_0012_Motospl11833.jpg.png,57119,38,514253,1358071,158356123,301,160228748,1285.632,3395.177,395890.344,0.752,400571.875
13,2026-09-12T23:50:20.248383+00:00,Motospl10615.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0013_Motospl10615.jpg.png,60625,38,676241,1359124,158424673,199,160460237,1690.603,3397.81,396061.656,0.498,401150.625
14,2026-09-12T23:50:23.745880+00:00,Placas11415.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0014_Placas11415.jpg.png,64130,38,500808,1357658,158371481,207,160230154,1252.02,3394.145,395928.719,0.517,400575.406
15,2026-09-12T23:50:27.265439+00:00,Motospl10563.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0015_Motospl10563.jpg.png,67635,38,504240,1356038,158436025,201,160296504,1260.6,3390.095,396090.063,0.502,400741.281
16,2026-09-12T23:50:30.789200+00:00,Motospl10424.jpg,1,Class2,1,Class2,0,Class1,1,Class2,frame_0016_Motospl10424.jpg.png,71172,37,798387,1359906,158394315,199,160552807,1995.968,3399.765,395985.781,0.498,401382.031
17,2026-09-12T23:50:34.273110+00:00,Placas11401.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0017_Placas11401.jpg.png,74677,38,601108,1358140,158390977,277,160350502,1502.77,3395.35,395977.438,0.692,400876.219
18,2026-09-12T23:50:37.795925+00:00,Motospl10246.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0018_Motospl10246.jpg.png,78182,37,920872,1355586,158372617,309,160649384,2302.18,3388.965,395931.563,0.772,401623.438
19,2026-09-12T23:50:41.340421+00:00,placaas10761.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0019_placaas10761.jpg.png,81720,38,980759,1357282,158431169,325,160769535,2451.897,3393.205,396077.906,0.812,401923.844
20,2026-09-12T23:50:44.878686+00:00,Placass11357.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0020_Placass11357.jpg.png,85258,38,960105,1356842,158396509,213,160713669,2400.262,3392.105,395991.281,0.533,401784.156
21,2026-09-12T23:50:48.432934+00:00,Placa158.png,1,Class2,0,Class1,0,Class1,0,Class1,frame_0021_Placa158.png.png,88796,38,950290,1355212,158422273,265,160728040,2375.725,3388.03,396055.656,0.663,401820.063
22,2026-09-12T23:50:51.940830+00:00,Placasm10907.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0022_Placasm10907.jpg.png,92333,39,684460,1359166,158379243,205,160423074,1711.15,3397.915,395948.125,0.512,401057.656
23,2026-09-12T23:50:55.469003+00:00,Placass11184.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0023_Placass11184.jpg.png,95839,36,579329,1358762,158399687,205,160337983,1448.323,3396.905,395999.219,0.512,400844.969
24,2026-09-12T23:50:58.986069+00:00,Placa107.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0024_Placa107.png.png,99376,38,928636,1356074,158371687,211,160656608,2321.59,3390.185,395929.219,0.527,401641.531
