idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-13T00:28:04.332412+00:00,Placas11475.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0001_Placas11475.jpg.png,36864,36,548171,1359348,191348539,311,193256369,1370.427,3398.37,478371.375,0.777,483140.906
2,2026-09-13T00:28:07.944476+00:00,Motospl12125.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0002_Motospl12125.jpg.png,40958,37,924885,1357630,191358771,233,193641519,2312.212,3394.075,478396.906,0.582,484103.813
3,2026-09-13T00:28:11.556489+00:00,Motospl10111.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0003_Motospl10111.jpg.png,44561,37,942240,1363127,191310563,231,193616161,2355.6,3407.818,478276.406,0.577,484040.375
4,2026-09-13T00:28:15.162823+00:00,Motospl11826.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0004_Motospl11826.jpg.png,48165,37,789007,1360666,191384935,291,193534899,1972.517,3401.665,478462.344,0.728,483837.25
5,2026-09-13T00:28:18.770375+00:00,Motospl10004.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0005_Motospl10004.jpg.png,51768,37,665900,1359012,191351273,325,193376510,1664.75,3397.53,478378.188,0.812,483441.281
6,2026-09-13T00:28:22.366765+00:00,Motospl11428.jpg,1,Class2,1,Class2,0,Class1,1,Class2,frame_0006_Motospl11428.jpg.png,55371,37,666633,1356042,191388849,213,193411737,1666.582,3390.105,478472.094,0.533,483529.344
7,2026-09-13T00:28:25.974626+00:00,Placasm10495.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0007_Placasm10495.jpg.png,58975,36,611962,1354044,191391561,205,193357772,1529.905,3385.11,478478.906,0.512,483394.469
8,2026-09-13T00:28:29.566255+00:00,placaas10612.jpg,0,Class1,1,Class2,1,Class2,1,Class2,frame_0008_placaas10612.jpg.png,62578,36,607332,1360558,191320111,279,193288280,1518.33,3401.395,478300.281,0.697,483220.719
9,2026-09-13T00:28:33.163446+00:00,Placas11096.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0009_Placas11096.jpg.png,66181,36,926448,1353792,191368179,309,193648728,2316.12,3384.48,478420.438,0.772,484121.844
10,2026-09-13T00:28:36.780662+00:00,placaas11188.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0010_placaas11188.jpg.png,69785,36,900210,1357718,191372415,279,193630622,2250.525,3394.295,478431.031,0.697,484076.594
11,2026-09-13T00:28:40.371565+00:00,Motospl11261.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0011_Motospl11261.jpg.png,73388,37,756151,1360192,191355139,275,193471757,1890.378,3400.48,478387.844,0.687,483679.406
12,2026-09-13T00:28:43.947746+00:00,Motospl11833.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0012_Motospl11833.jpg.png,76958,36,495456,1355622,191328215,327,193179620,1238.64,3389.055,478320.531,0.817,482949.031
13,2026-09-13T00:28:47.549074+00:00,Motospl10615.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0013_Motospl10615.jpg.png,80562,37,917828,1357780,191348333,309,193624250,2294.57,3394.45,478370.844,0.772,484060.625
14,2026-09-13T00:28:51.158181+00:00,Placas11415.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0014_Placas11415.jpg.png,84165,37,853233,1358114,191334503,207,193546057,2133.083,3395.285,478336.25,0.517,483865.156
15,2026-09-13T00:28:54.762552+00:00,Motospl10563.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0015_Motospl10563.jpg.png,87768,37,681662,1355063,191339915,207,193376847,1704.155,3387.657,478349.813,0.517,483442.094
16,2026-09-13T00:28:58.361146+00:00,Motospl10424.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0016_Motospl10424.jpg.png,91371,37,656518,1357132,191381913,233,193395796,1641.295,3392.83,478454.781,0.582,483489.469
17,2026-09-13T00:29:01.969280+00:00,Placas11401.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0017_Placas11401.jpg.png,94975,38,673596,1360198,191414701,233,193448728,1683.99,3400.495,478536.75,0.582,483621.844
18,2026-09-13T00:29:05.564612+00:00,Motospl10246.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0018_Motospl10246.jpg.png,98578,37,824742,1357160,191400839,293,193583034,2061.855,3392.9,478502.094,0.733,483957.594
19,2026-09-13T00:29:09.179642+00:00,placaas10761.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0019_placaas10761.jpg.png,102181,37,917462,1356812,191352331,297,193626902,2293.655,3392.03,478380.844,0.743,484067.219
20,2026-09-13T00:29:12.779567+00:00,Placass11357.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0020_Placass11357.jpg.png,105785,36,538623,1355550,191330525,233,193224931,1346.557,3388.875,478326.313,0.582,483062.313
21,2026-09-13T00:29:16.402470+00:00,Placa158.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0021_Placa158.png.png,109388,37,798907,1360298,191345219,277,193504701,1997.267,3400.745,478363.063,0.692,483761.75
