idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-13T01:05:08.543086+00:00,Placas11475.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0001_Placas11475.jpg.png,15431,36,759919,1360252,1125544871,199,1127665241,1899.797,3400.63,2813862.0,0.498,2819163.25
2,2026-09-13T01:05:14.459940+00:00,Motospl12125.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0002_Motospl12125.jpg.png,21491,37,604264,1357394,1125714229,201,1127676088,1510.66,3393.485,2814285.25,0.502,2819190.0
3,2026-09-13T01:05:20.395378+00:00,Motospl10111.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0003_Motospl10111.jpg.png,27420,37,757349,1357536,1125555889,209,1127670983,1893.373,3393.84,2813889.5,0.522,2819177.5
4,2026-09-13T01:05:26.322007+00:00,Motospl11826.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0004_Motospl11826.jpg.png,33349,37,648575,1359664,1125617665,233,1127626137,1621.438,3399.16,2814044.0,0.582,2819065.25
5,2026-09-13T01:05:32.241684+00:00,Motospl10004.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0005_Motospl10004.jpg.png,39278,37,539711,1361528,1125603005,213,1127504457,1349.278,3403.82,2814007.5,0.533,2818761.25
6,2026-09-13T01:05:38.191162+00:00,Motospl11428.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0006_Motospl11428.jpg.png,45207,37,827857,1358200,1125577985,213,1127764255,2069.642,3395.5,2813945.0,0.533,2819410.5
7,2026-09-13T01:05:44.146927+00:00,Placasm10495.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0007_Placasm10495.jpg.png,51169,37,884569,1360410,1125558967,271,1127804217,2211.423,3401.025,2813897.25,0.678,2819510.5
8,2026-09-13T01:05:50.103497+00:00,placaas10612.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0008_placaas10612.jpg.png,57131,37,988686,1356868,1125548211,223,1127893988,2471.715,3392.17,2813870.5,0.558,2819735.0
9,2026-09-13T01:05:56.036804+00:00,Placas11096.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0009_Placas11096.jpg.png,63060,37,744074,1356568,1125534195,263,1127635100,1860.185,3391.42,2813835.5,0.658,2819087.75
10,2026-09-13T01:06:01.992718+00:00,placaas11188.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0010_placaas11188.jpg.png,69022,38,937202,1358950,1125557857,291,1127854300,2343.005,3397.375,2813894.75,0.728,2819636.0
11,2026-09-13T01:06:07.920295+00:00,Motospl11261.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0011_Motospl11261.jpg.png,74951,37,661723,1358396,1125605171,211,1127625501,1654.307,3395.99,2814012.75,0.527,2819063.5
12,2026-09-13T01:06:13.850349+00:00,Motospl11833.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0012_Motospl11833.jpg.png,80880,37,566127,1355868,1125579259,199,1127501453,1415.317,3389.67,2813948.25,0.498,2818753.5
13,2026-09-13T01:06:19.779397+00:00,Motospl10615.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0013_Motospl10615.jpg.png,86809,37,540632,1357172,1125588987,199,1127486990,1351.58,3392.93,2813972.5,0.498,2818717.5
14,2026-09-13T01:06:25.707616+00:00,Placas11415.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0014_Placas11415.jpg.png,92738,36,735306,1356264,1125497547,211,1127589328,1838.265,3390.66,2813744.0,0.527,2818973.5
15,2026-09-13T01:06:31.645812+00:00,Motospl10563.jpg,1,Class2,1,Class2,0,Class1,0,Class1,frame_0015_Motospl10563.jpg.png,98667,37,668185,1353177,1125676849,213,1127698424,1670.463,3382.942,2814192.0,0.533,2819246.0
16,2026-09-13T01:06:37.606639+00:00,Motospl10424.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0016_Motospl10424.jpg.png,104629,37,946877,1355039,1125864301,209,1128166426,2367.192,3387.597,2814660.75,0.522,2820416.0
17,2026-09-13T01:06:43.524741+00:00,Placas11401.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0017_Placas11401.jpg.png,110558,37,604284,1355186,1125634077,199,1127593746,1510.71,3387.965,2814085.0,0.498,2818984.25
18,2026-09-13T01:06:49.455292+00:00,Motospl10246.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0018_Motospl10246.jpg.png,116487,37,667965,1356208,1125768949,217,1127793339,1669.912,3390.52,2814422.5,0.543,2819483.25
19,2026-09-13T01:06:55.396967+00:00,placaas10761.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0019_placaas10761.jpg.png,122416,37,616707,1357409,1125574581,213,1127548910,1541.767,3393.522,2813936.25,0.533,2818872.25
20,2026-09-13T01:07:01.355996+00:00,Placass11357.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0020_Placass11357.jpg.png,128378,37,916376,1357320,1125649637,209,1127923542,2290.94,3393.3,2814124.25,0.522,2819809.0
21,2026-09-13T01:07:07.275419+00:00,Placa158.png,1,Class2,0,Class1,0,Class1,0,Class1,frame_0021_Placa158.png.png,134307,37,570164,1356072,1125732283,221,1127658740,1425.41,3390.18,2814330.5,0.553,2819146.75
22,2026-09-13T01:07:13.198225+00:00,Placasm10907.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0022_Placasm10907.jpg.png,140236,37,703706,1356634,1125573463,211,1127634014,1759.265,3391.585,2813933.75,0.527,2819085.0
23,2026-09-13T01:07:19.153769+00:00,Placass11184.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0023_Placass11184.jpg.png,146165,37,829225,1359302,1125537569,233,1127726329,2073.063,3398.255,2813843.75,0.582,2819315.75
24,2026-09-13T01:07:25.102019+00:00,Placa107.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0024_Placa107.png.png,152127,37,833270,1358122,1125581855,197,1127773444,2083.175,3395.305,2813954.5,0.493,2819433.75
25,2026-09-13T01:07:31.018786+00:00,Motospl11458.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0025_Motospl11458.jpg.png,158056,37,543066,1361263,1125661249,213,1127565791,1357.665,3403.157,2814153.25,0.533,2818914.5
