idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-13T00:43:39.095210+00:00,Placas11475.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0001_Placas11475.jpg.png,17118,37,921723,1370200,450504289,333,452796545,2304.308,3425.5,1126260.75,0.832,1131991.375
2,2026-09-13T00:43:43.328826+00:00,Motospl12125.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0002_Motospl12125.jpg.png,21508,38,597411,1358160,450592459,245,452548275,1493.527,3395.4,1126481.125,0.613,1131370.75
3,2026-09-13T00:43:47.562589+00:00,Motospl10111.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0003_Motospl10111.jpg.png,25733,36,539262,1356578,450450449,249,452346538,1348.155,3391.445,1126126.125,0.623,1130866.375
4,2026-09-13T00:43:51.811658+00:00,Motospl11826.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0004_Motospl11826.jpg.png,29992,37,809997,1359944,450547533,257,452717731,2024.992,3399.86,1126368.75,0.642,1131794.375
5,2026-09-13T00:43:56.031913+00:00,Motospl10004.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0005_Motospl10004.jpg.png,34218,38,536993,1355890,450575011,259,452468153,1342.483,3389.725,1126437.5,0.647,1131170.375
6,2026-09-13T00:44:00.272752+00:00,Motospl11428.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0006_Motospl11428.jpg.png,38443,37,498001,1355086,450522673,259,452376019,1245.002,3387.715,1126306.625,0.647,1130940.0
7,2026-09-13T00:44:04.535694+00:00,Placasm10495.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0007_Placasm10495.jpg.png,42701,37,925873,1356082,450479369,257,452761581,2314.683,3390.205,1126198.375,0.642,1131903.875
8,2026-09-13T00:44:08.783708+00:00,placaas10612.jpg,0,Class1,1,Class2,1,Class2,1,Class2,frame_0008_placaas10612.jpg.png,46960,38,823916,1359666,450487505,257,452671344,2059.79,3399.165,1126218.75,0.642,1131678.375
9,2026-09-13T00:44:13.033676+00:00,Placas11096.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0009_Placas11096.jpg.png,51218,36,987453,1357690,450485183,259,452830585,2468.633,3394.225,1126213.0,0.647,1132076.5
10,2026-09-13T00:44:17.268200+00:00,placaas11188.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0010_placaas11188.jpg.png,55444,36,686462,1355517,450523331,259,452565569,1716.155,3388.792,1126308.25,0.647,1131413.875
11,2026-09-13T00:44:21.523884+00:00,Motospl11261.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0011_Motospl11261.jpg.png,59703,37,876436,1359698,450522239,261,452758634,2191.09,3399.245,1126305.625,0.652,1131896.5
12,2026-09-13T00:44:25.787833+00:00,Motospl11833.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0012_Motospl11833.jpg.png,63961,38,921917,1358488,450555547,257,452836209,2304.792,3396.22,1126388.875,0.642,1132090.5
13,2026-09-13T00:44:30.043319+00:00,Motospl10615.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0013_Motospl10615.jpg.png,68220,37,968348,1356711,450556853,257,452882169,2420.87,3391.777,1126392.125,0.642,1132205.5
14,2026-09-13T00:44:34.301527+00:00,Placas11415.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0014_Placas11415.jpg.png,72478,38,930039,1359538,450576069,245,452865891,2325.097,3398.845,1126440.125,0.613,1132164.75
15,2026-09-13T00:44:38.540646+00:00,Motospl10563.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0015_Motospl10563.jpg.png,76704,37,492282,1356037,450541893,257,452390469,1230.705,3390.093,1126354.75,0.642,1130976.125
16,2026-09-13T00:44:42.787347+00:00,Motospl10424.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0016_Motospl10424.jpg.png,80962,36,659995,1357562,450532229,257,452550043,1649.987,3393.905,1126330.625,0.642,1131375.125
17,2026-09-13T00:44:47.044018+00:00,Placas11401.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0017_Placas11401.jpg.png,85220,38,795199,1357450,450525711,259,452678619,1987.998,3393.625,1126314.25,0.647,1131696.5
