idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-13T02:10:11.344435+00:00,Placas11475.jpg,0,Class1,0,Class1,,,,,,12061,35,857754,1353906,158356425,327,160568412,2144.385,3384.765,395891.094,0.817,401421.031
2,2026-09-13T02:10:13.820732+00:00,Motospl12125.jpg,1,Class2,1,Class2,,,,,,14550,37,946141,1362354,158395447,325,160704267,2365.353,3405.885,395988.594,0.812,401760.688
3,2026-09-13T02:10:16.287705+00:00,Motospl10111.jpg,1,Class2,1,Class2,,,,,,17007,37,497517,1362068,158392627,309,160252521,1243.792,3405.17,395981.563,0.772,400631.313
4,2026-09-13T02:10:18.768436+00:00,Motospl11826.jpg,1,Class2,1,Class2,,,,,,19497,36,955202,1361556,158459093,201,160776052,2388.005,3403.89,396147.75,0.502,401940.125
5,2026-09-13T02:10:21.228592+00:00,Motospl10004.jpg,1,Class2,1,Class2,,,,,,21953,36,554966,1366032,158397381,301,160318680,1387.415,3415.08,395993.438,0.752,400796.688
6,2026-09-13T02:10:23.718675+00:00,Motospl11428.jpg,1,Class2,1,Class2,,,,,,24443,38,898591,1361859,158389149,309,160649908,2246.478,3404.648,395972.875,0.772,401624.75
7,2026-09-13T02:10:26.205806+00:00,Placasm10495.jpg,0,Class1,0,Class1,,,,,,26933,36,921960,1364766,158404061,277,160691064,2304.9,3411.915,396010.156,0.692,401727.656
8,2026-09-13T02:10:28.665704+00:00,placaas10612.jpg,0,Class1,0,Class1,,,,,,29389,36,539205,1364806,158381081,209,160285301,1348.013,3412.015,395952.688,0.522,400713.25
9,2026-09-13T02:10:31.150894+00:00,Placas11096.jpg,0,Class1,0,Class1,,,,,,31879,36,940283,1361826,158433709,325,160736143,2350.708,3404.565,396084.281,0.812,401840.375
10,2026-09-13T02:10:33.613696+00:00,placaas11188.jpg,0,Class1,0,Class1,,,,,,34336,37,524010,1361680,158405093,291,160291074,1310.025,3404.2,396012.719,0.728,400727.656
11,2026-09-13T02:10:36.104409+00:00,Motospl11261.jpg,1,Class2,1,Class2,,,,,,36825,35,831210,1361267,158358379,235,160551091,2078.025,3403.167,395895.938,0.587,401377.75
12,2026-09-13T02:10:38.595595+00:00,Motospl11833.jpg,1,Class2,1,Class2,,,,,,39315,37,805480,1359052,158365339,277,160530148,2013.7,3397.63,395913.344,0.692,401325.344
13,2026-09-13T02:10:41.080956+00:00,Motospl10615.jpg,1,Class2,0,Class1,,,,,,41804,36,876010,1361950,158434097,213,160672270,2190.025,3404.875,396085.25,0.533,401680.688
14,2026-09-13T02:10:43.540635+00:00,Placas11415.jpg,0,Class1,0,Class1,,,,,,44261,36,486819,1360406,158360839,233,160208297,1217.047,3401.015,395902.063,0.582,400520.75
15,2026-09-13T02:10:46.024527+00:00,Motospl10563.jpg,1,Class2,1,Class2,,,,,,46751,37,883917,1365908,158418941,213,160668979,2209.792,3414.77,396047.375,0.533,401672.438
