Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placas11004.jpg;35;1279930;95785771;195;97065896;3199.825;239464.406;0.488;242664.750
Placas11017.jpg;36;1278876;95752781;209;97031866;3197.190;239381.953;0.522;242579.672
Placas11023.jpg;36;1279586;95842617;207;97122410;3198.965;239606.531;0.517;242806.016
Placas11024.jpg;36;1276986;95845075;195;97122256;3192.465;239612.687;0.488;242805.641
Placas11050.jpg;36;1280296;95755505;197;97035998;3200.740;239388.766;0.493;242590.016
Placas11063.jpg;36;1279292;95532361;321;96811974;3198.230;238830.906;0.803;242029.937
Placas11068.jpg;37;1279505;95903804;197;97183506;3198.762;239759.531;0.493;242958.750
Placas11077.jpg;37;1278556;95828535;243;97107334;3196.390;239571.344;0.608;242768.344
Placas11079.jpg;37;1279794;95649135;227;96929156;3199.485;239122.844;0.567;242322.875
Placas11096.jpg;37;1279626;95524007;197;96803830;3199.065;238810.016;0.493;242009.578
Placas11117.jpg;38;1279488;95707855;207;96987550;3198.720;239269.656;0.517;242468.875
Placas11148.jpg;37;1278781;95900784;205;97179770;3196.953;239751.953;0.512;242949.422
Placas11161.jpg;37;1279507;95755206;207;97034920;3198.768;239388.016;0.517;242587.297
Placas11190.jpg;37;1280472;95640885;209;96921566;3201.180;239102.219;0.522;242303.922
Placas11191.jpg;37;1279684;95695915;207;96975806;3199.210;239239.781;0.517;242439.516
Placas11199.jpg;36;1278918;95748447;207;97027572;3197.295;239371.109;0.517;242568.906
Placas11221.jpg;37;1279390;95639665;209;96919264;3198.475;239099.156;0.522;242298.172
Placas11235.jpg;37;1281796;95557187;195;96839178;3204.490;238892.953;0.488;242097.937
Placas11240.jpg;36;1280170;95666559;231;96946960;3200.425;239166.406;0.577;242367.391
Placas11241.jpg;37;1279189;95897964;197;97177350;3197.973;239744.922;0.493;242943.375
Placas11265.jpg;37;1277246;95902281;197;97179724;3193.115;239755.703;0.493;242949.312
Placas11298.jpg;37;1279952;95746393;209;97026554;3199.880;239365.969;0.522;242566.375
Placas11299.jpg;36;1280146;95916191;207;97196544;3200.365;239790.484;0.517;242991.359
Placas11318.jpg;38;1279224;95767711;209;97047144;3198.060;239419.281;0.522;242617.859
Placas11330.jpg;37;1280513;95658258;205;96938976;3201.282;239145.641;0.512;242347.437
Placas11334.jpg;37;1279770;95672255;207;96952232;3199.425;239180.641;0.517;242380.594
Placas11346.jpg;37;1279302;95773593;193;97053088;3198.255;239433.984;0.482;242632.734
Placas11359.jpg;36;1279827;95694082;231;96974140;3199.567;239235.187;0.577;242435.359
Placas11377.jpg;37;1276740;95805409;209;97082358;3191.850;239513.531;0.522;242705.891
Placas11379.jpg;38;1278168;95738083;195;97016446;3195.420;239345.187;0.488;242541.125
Placas11381.jpg;37;1280170;95714419;195;96994784;3200.425;239286.047;0.488;242486.953
Placas11401.jpg;38;1278776;95727061;1149;97006986;3196.940;239317.656;2.872;242517.469
Placas11415.jpg;38;1278510;95801421;197;97080128;3196.275;239503.562;0.493;242700.312
Placas11418.jpg;37;1279646;95705731;207;96985584;3199.115;239264.328;0.517;242463.969
Placas11420.jpg;37;1281658;95613931;209;96895798;3204.145;239034.812;0.522;242239.484
Placas11426.jpg;37;1278122;95795541;195;97073858;3195.305;239488.859;0.488;242684.625
Placas11428.jpg;38;1277460;95875107;207;97152774;3193.650;239687.766;0.517;242881.937
Placas11431.jpg;37;1278837;95651312;205;96930354;3197.093;239128.281;0.512;242325.875
Placas11432.jpg;37;1279002;95644597;193;96923792;3197.505;239111.500;0.482;242309.469
Placas11449.jpg;36;1279328;95649317;205;96928850;3198.320;239123.297;0.512;242322.125
Placas11451.jpg;37;1280288;95697051;215;96977554;3200.720;239242.625;0.538;242443.875
Placas11475.jpg;37;1279711;95746572;197;97026480;3199.277;239366.437;0.493;242566.203
Placas11477.jpg;38;1278278;95634967;205;96913450;3195.695;239087.422;0.512;242283.609
Placas11493.jpg;38;1278700;95637449;209;96916358;3196.750;239093.609;0.522;242290.891
Placas11502.jpg;37;1279488;95860877;197;97140562;3198.720;239652.187;0.493;242851.391
Placas11504.jpg;37;1280555;95672792;209;96953556;3201.387;239181.984;0.522;242383.875
Placas11507.jpg;37;1279098;95740661;197;97019956;3197.745;239351.672;0.493;242549.891
Placas11508.jpg;37;1280004;95707177;209;96987390;3200.010;239267.937;0.522;242468.484
Placas11510.jpg;38;1282120;95830667;231;97113018;3205.300;239576.656;0.577;242782.547
Placas11513.jpg;37;1281804;95669569;209;96951582;3204.510;239173.922;0.522;242378.953
Placas11524.jpg;37;1279599;95643914;207;96923720;3198.998;239109.781;0.517;242309.297
Placas11528.jpg;38;1278646;95712667;323;96991636;3196.615;239281.672;0.808;242479.094
Placas11538.jpg;37;1278518;95614683;197;96893398;3196.295;239036.703;0.493;242233.484
Placas11544.jpg;37;1279928;95650357;229;96930514;3199.820;239125.891;0.572;242326.266
Placas11555.jpg;36;1277674;95736189;207;97014070;3194.185;239340.469;0.517;242535.187
Placas11580.jpg;38;1279487;95718820;197;96998504;3198.718;239297.031;0.493;242496.266
Placas11586.jpg;37;1279332;95793087;207;97072626;3198.330;239482.719;0.517;242681.562
Placas11589.jpg;38;1279510;95478479;211;96758200;3198.775;238696.203;0.527;241895.500
Placas11601.jpg;38;1279592;95734299;207;97014098;3198.980;239335.734;0.517;242535.234
Placasm10027.jpg;37;1273554;95728973;197;97002724;3183.885;239322.437;0.493;242506.797
Placasm10043.jpg;38;1274670;95856229;209;97131108;3186.675;239640.578;0.522;242827.766
Placasm10115.jpg;38;1273376;95843223;195;97116794;3183.440;239608.062;0.488;242791.984
Placasm10140.jpg;37;1274052;95740193;205;97014450;3185.130;239350.469;0.512;242536.109
Placasm10141.jpg;36;1279686;95703761;193;96983640;3199.215;239259.391;0.482;242459.109
Placasm10164.jpg;38;1274240;95751485;211;97025936;3185.600;239378.719;0.527;242564.844
Placasm10167.jpg;36;1275478;95633985;205;96909668;3188.695;239084.953;0.512;242274.156
Placasm10177.jpg;38;1271324;95808565;205;97080094;3178.310;239521.406;0.512;242700.234
Placasm10219.jpg;37;1277238;95689771;207;96967216;3193.095;239224.422;0.517;242418.047
Placasm10220.jpg;37;1278272;95954197;215;97232684;3195.680;239885.500;0.538;243081.734
Placasm10234.jpg;37;1275007;95759846;231;97035084;3187.517;239399.609;0.577;242587.719
Placasm10245.jpg;38;1279954;95736549;207;97016710;3199.885;239341.375;0.517;242541.781
Placasm10260.jpg;37;1272138;95638577;197;96910912;3180.345;239096.453;0.493;242277.281
Placasm10278.jpg;38;1276184;95754779;207;97031170;3190.460;239386.937;0.517;242577.922
Placasm10294.jpg;39;1273150;95788267;195;97061612;3182.875;239470.656;0.488;242654.031
Placasm10297.jpg;38;1275671;95789732;205;97065608;3189.177;239474.312;0.512;242664.016
Placasm10303.jpg;38;1280234;95907981;209;97188424;3200.585;239769.969;0.522;242971.062
Placasm10313.jpg;38;1272060;95671003;197;96943260;3180.150;239177.500;0.493;242358.172
Placasm10349.jpg;38;1274658;95712873;273;96987804;3186.645;239282.172;0.683;242469.531
Placasm10362.jpg;38;1276772;95882639;193;97159604;3191.930;239706.594;0.482;242899.000
Placasm10403.jpg;37;1276474;95923147;205;97199826;3191.185;239807.859;0.512;242999.562
Placasm10408.jpg;37;1280894;95656351;205;96937450;3202.235;239140.891;0.512;242343.609
Placasm10437.jpg;38;1274054;95766867;195;97041116;3185.135;239417.156;0.488;242602.797
Placasm10439.jpg;38;1280554;95773393;1261;97055208;3201.385;239433.484;3.152;242638.016
Placasm10491.jpg;37;1272954;95807879;207;97081040;3182.385;239519.687;0.517;242702.609
Placasm10495.jpg;37;1279188;95850965;195;97130348;3197.970;239627.422;0.488;242825.875
Placasm10570.jpg;39;1273636;95817155;275;97091066;3184.090;239542.891;0.687;242727.672
Placasm10585.jpg;38;1278908;95746691;193;97025792;3197.270;239366.734;0.482;242564.484
Placasm10681.jpg;37;1277736;95677359;197;96955292;3194.340;239193.391;0.493;242388.234
