Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placas11004.jpg;35;1278974;159673685;197;160952856;3197.435;399184.188;0.493;402382.156
Placas11017.jpg;35;1279564;159698807;229;160978600;3198.910;399247.000;0.572;402446.500
Placas11023.jpg;35;1278532;159779095;287;161057914;3196.330;399447.719;0.717;402644.781
Placas11024.jpg;35;1279580;159766241;277;161046098;3198.950;399415.594;0.692;402615.219
Placas11050.jpg;35;1280280;159709133;205;160989618;3200.700;399272.813;0.512;402474.031
Placas11063.jpg;36;1279610;159526619;303;160806532;3199.025;398816.563;0.757;402016.313
Placas11068.jpg;35;1278762;159827593;209;161106564;3196.905;399569.000;0.522;402766.375
Placas11077.jpg;36;1281659;159765086;207;161046952;3204.147;399412.719;0.517;402617.375
Placas11079.jpg;35;1280082;159675865;205;160956152;3200.205;399189.688;0.512;402390.406
Placas11096.jpg;36;1281912;159525729;305;160807946;3204.780;398814.313;0.762;402019.875
Placas11117.jpg;36;1280296;159674681;209;160955186;3200.740;399186.719;0.522;402387.969
Placas11148.jpg;35;1281856;159800531;199;161082586;3204.640;399501.344;0.498;402706.500
Placas11161.jpg;36;1281542;159788037;197;161069776;3203.855;399470.094;0.493;402674.438
Placas11190.jpg;34;1277634;159664779;367;160942780;3194.085;399161.969;0.918;402356.938
Placas11191.jpg;35;1279369;159613726;303;160893398;3198.423;399034.344;0.757;402233.469
Placas11199.jpg;34;1279178;159706557;275;160986010;3197.945;399266.406;0.687;402465.031
Placas11221.jpg;35;1277918;159591449;277;160869644;3194.795;398978.625;0.692;402174.125
Placas11235.jpg;35;1280668;159605539;231;160886438;3201.670;399013.844;0.577;402216.094
Placas11240.jpg;36;1278080;159511479;207;160789766;3195.200;398778.688;0.517;401974.406
Placas11241.jpg;36;1278026;159773671;303;161052000;3195.065;399434.125;0.757;402630.000
Placas11265.jpg;35;1278124;159823649;201;161101974;3195.310;399559.125;0.502;402754.938
Placas11298.jpg;36;1277422;159710029;287;160987738;3193.555;399275.094;0.717;402469.344
Placas11299.jpg;35;1277502;159849689;313;161127504;3193.755;399624.219;0.783;402818.781
Placas11318.jpg;36;1279880;159653277;197;160933354;3199.700;399133.188;0.493;402333.406
Placas11330.jpg;36;1279656;159689785;197;160969638;3199.140;399224.469;0.493;402424.094
Placas11334.jpg;35;1280285;159733050;273;161013608;3200.712;399332.625;0.683;402533.969
Placas11346.jpg;35;1280677;159772648;275;161053600;3201.692;399431.594;0.687;402634.031
Placas11359.jpg;36;1279472;159665675;247;160945394;3198.680;399164.188;0.618;402363.469
Placas11377.jpg;35;1278508;159726707;195;161005410;3196.270;399316.750;0.488;402513.500
Placas11379.jpg;36;1280662;159731637;305;161012604;3201.655;399329.063;0.762;402531.500
Placas11381.jpg;35;1279573;159728064;347;161007984;3198.932;399320.188;0.868;402519.969
Placas11401.jpg;35;1277438;159750095;253;161027786;3193.595;399375.250;0.632;402569.469
Placas11415.jpg;35;1280714;159769873;253;161050840;3201.785;399424.656;0.632;402627.125
Placas11418.jpg;36;1280456;159745979;339;161026774;3201.140;399364.969;0.848;402566.906
Placas11420.jpg;35;1280112;159583719;195;160864026;3200.280;398959.250;0.488;402160.063
Placas11426.jpg;35;1280023;159786994;207;161067224;3200.057;399467.469;0.517;402668.063
Placas11428.jpg;36;1280154;159855555;215;161135924;3200.385;399638.875;0.538;402839.781
Placas11431.jpg;35;1277882;159623553;277;160901712;3194.705;399058.875;0.692;402254.250
Placas11432.jpg;35;1280578;159633783;415;160914776;3201.445;399084.469;1.038;402286.969
Placas11449.jpg;36;1278984;159623129;413;160902526;3197.460;399057.813;1.033;402256.313
Placas11451.jpg;36;1279310;159722681;289;161002280;3198.275;399306.719;0.723;402505.656
Placas11475.jpg;35;1280246;159635671;195;160916112;3200.615;399089.156;0.488;402290.281
Placas11477.jpg;36;1277592;159632623;195;160910410;3193.980;399081.563;0.488;402276.031
Placas11493.jpg;36;1279890;159598303;197;160878390;3199.725;398995.750;0.493;402195.969
Placas11502.jpg;36;1277794;159746527;243;161024564;3194.485;399366.313;0.608;402561.406
Placas11504.jpg;35;1280000;159665595;259;160945854;3200.000;399164.000;0.647;402364.656
Placas11507.jpg;36;1282713;159742070;351;161025134;3206.783;399355.156;0.877;402562.844
Placas11508.jpg;35;1279650;159734463;395;161014508;3199.125;399336.156;0.988;402536.281
Placas11510.jpg;35;1278382;159820455;277;161099114;3195.955;399551.125;0.692;402747.813
Placas11513.jpg;37;1279185;159635044;249;160914478;3197.962;399087.594;0.623;402286.188
Placas11524.jpg;36;1280246;159614901;205;160895352;3200.615;399037.219;0.512;402238.406
Placas11528.jpg;35;1277738;159673527;257;160951522;3194.345;399183.781;0.642;402378.781
Placas11538.jpg;35;1292230;159560969;245;160853444;3230.575;398902.438;0.613;402133.594
Placas11544.jpg;35;1279226;159638895;303;160918424;3198.065;399097.250;0.757;402296.094
Placas11555.jpg;35;1278616;159698667;207;160977490;3196.540;399246.688;0.517;402443.719
Placas11580.jpg;35;1281156;159721995;207;161003358;3202.890;399305.000;0.517;402508.406
Placas11586.jpg;36;1280607;159690410;323;160971340;3201.518;399226.063;0.808;402428.375
Placas11589.jpg;36;1279554;159385041;205;160664800;3198.885;398462.625;0.512;401662.000
Placas11601.jpg;35;1279861;159675720;275;160955856;3199.653;399189.281;0.687;402389.656
Placasm10027.jpg;36;1276453;159666852;195;160943500;3191.133;399167.125;0.488;402358.750
Placasm10043.jpg;36;1276748;159769431;245;161046424;3191.870;399423.563;0.613;402616.063
Placasm10115.jpg;36;1274377;159752438;275;161027090;3185.943;399381.094;0.687;402567.719
Placasm10140.jpg;35;1273731;159669286;263;160943280;3184.327;399173.219;0.658;402358.188
Placasm10141.jpg;35;1279966;159737351;231;161017548;3199.915;399343.375;0.577;402543.875
Placasm10164.jpg;36;1273304;159710069;195;160983568;3183.260;399275.188;0.488;402458.906
