Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placas11004.jpg;33;1281222;194810369;321;196091912;3203.055;487025.938;0.803;490229.750
Placas11017.jpg;33;1282361;194820404;209;196102974;3205.903;487051.000;0.522;490257.438
Placas11023.jpg;34;1276625;194892368;415;196169408;3191.563;487230.906;1.038;490423.531
Placas11024.jpg;35;1278588;194729445;337;196008370;3196.470;486823.594;0.842;490020.906
Placas11050.jpg;35;1278964;194852421;249;196131634;3197.410;487131.031;0.623;490329.063
Placas11063.jpg;34;1278924;194691513;301;195970738;3197.310;486728.813;0.752;489926.844
Placas11068.jpg;35;1277516;194796009;481;196074006;3193.790;486990.031;1.202;490185.000
Placas11077.jpg;35;1283137;194874891;411;196158439;3207.842;487187.250;1.028;490396.094
Placas11079.jpg;34;1278662;194811853;321;196090836;3196.655;487029.625;0.803;490227.063
Placas11096.jpg;35;1279868;194761157;305;196041330;3199.670;486902.875;0.762;490103.344
Placas11117.jpg;35;1281506;194812555;303;196094364;3203.765;487031.375;0.757;490235.906
Placas11148.jpg;35;1279935;194828090;219;196108244;3199.837;487070.219;0.548;490270.594
Placas11161.jpg;35;1279908;194937433;351;196217692;3199.770;487343.594;0.877;490544.250
Placas11190.jpg;35;1277602;194800209;305;196078116;3194.005;487000.500;0.762;490195.281
Placas11191.jpg;36;1280370;194811119;247;196091736;3200.925;487027.813;0.618;490229.375
Placas11199.jpg;35;1279578;194721115;303;196000996;3198.945;486802.781;0.757;490002.500
Placas11221.jpg;35;1280384;194832657;197;196113238;3200.960;487081.625;0.493;490283.094
Placas11235.jpg;36;1280108;194745223;303;196025634;3200.270;486863.031;0.757;490064.063
Placas11240.jpg;35;1278491;194793691;319;196072501;3196.228;486984.250;0.798;490181.219
Placas11241.jpg;35;1281437;194842950;415;196124802;3203.592;487107.344;1.038;490312.000
Placas11265.jpg;35;1277014;194908269;275;196185558;3192.535;487270.656;0.687;490463.875
Placas11298.jpg;35;1279631;194726188;273;196006092;3199.078;486815.500;0.683;490015.250
Placas11299.jpg;35;1279722;194870631;323;196150676;3199.305;487176.531;0.808;490376.688
Placas11318.jpg;36;1279834;194747307;323;196027464;3199.585;486868.250;0.808;490068.656
Placas11330.jpg;35;1281460;194811543;319;196093322;3203.650;487028.813;0.798;490233.313
Placas11334.jpg;36;1278424;194811043;291;196089758;3196.060;487027.594;0.728;490224.375
Placas11346.jpg;35;1279410;194779085;225;196058720;3198.525;486947.719;0.562;490146.781
Placas11359.jpg;36;1279692;194906573;321;196186586;3199.230;487266.438;0.803;490466.469
Placas11377.jpg;36;1280108;194911631;327;196192066;3200.270;487279.094;0.817;490480.156
Placas11379.jpg;35;1277638;194892409;301;196170348;3194.095;487231.031;0.752;490425.875
Placas11381.jpg;35;1278922;194860695;303;196139920;3197.305;487151.719;0.757;490349.781
Placas11401.jpg;35;1278026;194774331;385;196052742;3195.065;486935.844;0.962;490131.844
Placas11415.jpg;36;1278126;194817679;231;196096036;3195.315;487044.219;0.577;490240.063
Placas11418.jpg;35;1278896;194774253;385;196053534;3197.240;486935.625;0.962;490133.813
Placas11420.jpg;35;1280038;194802911;195;196083144;3200.095;487007.250;0.488;490207.844
Placas11426.jpg;36;1276150;194884645;415;196161210;3190.375;487211.625;1.038;490403.063
Placas11428.jpg;36;1277996;194792809;275;196071080;3194.990;486982.063;0.687;490177.688
Placas11431.jpg;36;1279648;194776665;197;196056510;3199.120;486941.656;0.493;490141.281
Placas11432.jpg;35;1280921;194794952;293;196076166;3202.302;486987.344;0.733;490190.406
Placas11449.jpg;36;1279666;194760265;195;196040126;3199.165;486900.688;0.488;490100.313
Placas11451.jpg;36;1278556;194776899;213;196055668;3196.390;486942.250;0.533;490139.156
Placas11475.jpg;35;1280682;194755497;349;196036528;3201.705;486888.781;0.873;490091.344
Placas11477.jpg;36;1278786;194845013;417;196124216;3196.965;487112.500;1.043;490310.563
Placas11493.jpg;35;1277050;194748169;207;196025426;3192.625;486870.438;0.517;490063.563
Placas11502.jpg;35;1277490;194841351;323;196119164;3193.725;487103.344;0.808;490297.906
Placas11504.jpg;35;1280044;194782801;241;196063086;3200.110;486957.031;0.603;490157.719
Placas11507.jpg;36;1278500;194855123;317;196133940;3196.250;487137.781;0.793;490334.844
Placas11508.jpg;36;1278744;194798889;209;196077842;3196.860;486997.250;0.522;490194.594
Placas11510.jpg;36;1276509;194787034;201;196063744;3191.272;486967.594;0.502;490159.375
Placas11513.jpg;35;1278576;194792289;365;196071230;3196.440;486980.719;0.913;490178.063
Placas11524.jpg;36;1280456;194774901;317;196055674;3201.140;486937.219;0.793;490139.188
Placas11528.jpg;37;1279435;194787310;241;196066986;3198.587;486968.313;0.603;490167.469
Placas11538.jpg;36;1275790;194815377;225;196091392;3189.475;487038.438;0.562;490228.500
Placas11544.jpg;36;1278638;194791987;263;196070888;3196.595;486979.969;0.658;490177.188
Placas11555.jpg;35;1278476;194789353;273;196068102;3196.190;486973.406;0.683;490170.219
Placas11580.jpg;36;1279000;194764653;323;196043976;3197.500;486911.625;0.808;490109.906
Placas11586.jpg;36;1282312;194802939;343;196085594;3205.780;487007.344;0.858;490214.031
Placas11589.jpg;36;1279165;194709670;319;195989154;3197.912;486774.156;0.798;489972.875
Placas11601.jpg;36;1278648;194816543;259;196095450;3196.620;487041.375;0.647;490238.625
Placasm10027.jpg;35;1272425;194840650;273;196113348;3181.063;487101.625;0.683;490283.344
Placasm10043.jpg;36;1276432;194813319;275;196090026;3191.080;487033.281;0.687;490225.094
Placasm10115.jpg;35;1286573;194887134;443;196174150;3216.433;487217.875;1.107;490435.344
Placasm10140.jpg;37;1272508;194768481;301;196041290;3181.270;486921.188;0.752;490103.250
Placasm10141.jpg;35;1279959;194837712;209;196117880;3199.897;487094.281;0.522;490294.719
Placasm10164.jpg;36;1271904;194815043;1145;196088092;3179.760;487037.594;2.862;490220.219
Placasm10167.jpg;35;1275938;194772069;415;196048422;3189.845;486930.188;1.038;490121.031
Placasm10177.jpg;36;1278007;194813036;225;196091268;3195.018;487032.594;0.562;490228.156
Placasm10219.jpg;36;1272618;194700633;397;195973648;3181.545;486751.594;0.993;489934.125
Placasm10220.jpg;35;1280658;194918739;197;196199594;3201.645;487296.844;0.493;490498.969
Placasm10234.jpg;36;1272334;194822027;1401;196095762;3180.835;487055.094;3.502;490239.406
Placasm10245.jpg;36;1279730;194870731;303;196150764;3199.325;487176.844;0.757;490376.938
Placasm10260.jpg;35;1273036;194827823;259;196101118;3182.590;487069.563;0.647;490252.813
Placasm10278.jpg;36;1274262;194827091;207;196101560;3185.655;487067.719;0.517;490253.906
Placasm10294.jpg;36;1273150;194801693;321;196075164;3182.875;487004.250;0.803;490187.938
Placasm10297.jpg;36;1275627;194881486;319;196157432;3189.068;487203.719;0.798;490393.625
Placasm10303.jpg;36;1280592;194789513;321;196070426;3201.480;486973.781;0.803;490176.063
Placasm10313.jpg;36;1277056;194736939;207;196014202;3192.640;486842.344;0.517;490035.500
Placasm10349.jpg;36;1275672;194827299;329;196103300;3189.180;487068.250;0.822;490258.219
Placasm10362.jpg;35;1279797;194888290;303;196168390;3199.492;487220.719;0.757;490420.969
Placasm10403.jpg;35;1275886;194885641;209;196161736;3189.715;487214.125;0.522;490404.313
Placasm10408.jpg;36;1281101;194816424;303;196097828;3202.752;487041.031;0.757;490244.563
Placasm10437.jpg;36;1272706;194890589;303;196163598;3181.765;487226.500;0.757;490409.000
Placasm10439.jpg;35;1278290;194824339;415;196103044;3195.725;487060.813;1.038;490257.594
Placasm10491.jpg;37;1271436;194784005;303;196055744;3178.590;486960.000;0.757;490139.375
Placasm10495.jpg;36;1279280;194844551;319;196124150;3198.200;487111.375;0.798;490310.375
Placasm10570.jpg;36;1274721;194841698;231;196116650;3186.802;487104.250;0.577;490291.656
Placasm10585.jpg;36;1280117;194759130;321;196039568;3200.293;486897.844;0.803;490098.938
Placasm10681.jpg;36;1278982;194850047;307;196129336;3197.455;487125.125;0.767;490323.375
Placasm10692.jpg;35;1276604;194807117;305;196084026;3191.510;487017.781;0.762;490210.063
Placasm10730.jpg;36;1278858;194850605;197;196129660;3197.145;487126.500;0.493;490324.156
