Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placas11004.jpg;29;1279962;194815537;351;196095850;3199.905;487038.844;0.877;490239.656
Placas11017.jpg;30;1282394;194889727;211;196172332;3205.985;487224.313;0.527;490430.813
Placas11023.jpg;30;1278637;194761828;293;196040758;3196.593;486904.531;0.733;490101.875
Placas11024.jpg;30;1279412;194801727;399;196081538;3198.530;487004.344;0.998;490203.813
Placas11050.jpg;30;1279402;194782763;247;196062412;3198.505;486956.938;0.618;490156.063
Placas11063.jpg;30;1279758;194734435;215;196014408;3199.395;486836.094;0.538;490036.000
Placas11068.jpg;30;1280986;194723821;197;196005004;3202.465;486809.531;0.493;490012.531
Placas11077.jpg;30;1279632;194814853;257;196094742;3199.080;487037.125;0.642;490236.844
Placas11079.jpg;30;1280200;194802257;321;196082778;3200.500;487005.625;0.803;490206.969
Placas11096.jpg;30;1279526;194741107;305;196020938;3198.815;486852.750;0.762;490052.375
Placas11117.jpg;30;1279686;194807221;273;196087180;3199.215;487018.031;0.683;490217.969
Placas11148.jpg;30;1279892;194797737;209;196077838;3199.730;486994.344;0.522;490194.594
Placas11161.jpg;30;1279430;194911577;337;196191344;3198.575;487278.969;0.842;490478.344
Placas11190.jpg;30;1279885;194855604;413;196135902;3199.713;487139.000;1.033;490339.750
Placas11191.jpg;30;1280164;194805577;321;196086062;3200.410;487013.969;0.803;490215.156
Placas11199.jpg;30;1278928;194864413;207;196143548;3197.320;487161.031;0.517;490358.906
Placas11221.jpg;30;1278654;194875783;263;196154700;3196.635;487189.438;0.658;490386.750
Placas11235.jpg;30;1278996;194760009;277;196039282;3197.490;486900.063;0.692;490098.219
Placas11240.jpg;30;1276465;194790184;321;196066970;3191.162;486975.438;0.803;490167.406
Placas11241.jpg;30;1282010;194878801;277;196161088;3205.025;487197.000;0.692;490402.719
Placas11265.jpg;31;1276388;194827193;385;196103966;3190.970;487068.000;0.962;490259.906
Placas11298.jpg;30;1281318;194849315;307;196130940;3203.295;487123.281;0.767;490327.344
Placas11299.jpg;31;1281998;194775557;323;196057878;3204.995;486938.906;0.808;490144.688
Placas11318.jpg;31;1281723;194747238;195;196029156;3204.307;486868.094;0.488;490072.875
Placas11330.jpg;30;1279960;194828125;367;196108452;3199.900;487070.313;0.918;490271.094
Placas11334.jpg;30;1277230;194893193;305;196170728;3193.075;487233.000;0.762;490426.781
Placas11346.jpg;31;1280892;194792401;323;196073616;3202.230;486981.000;0.808;490184.031
Placas11359.jpg;31;1279292;194775915;303;196055510;3198.230;486939.813;0.757;490138.781
Placas11377.jpg;31;1278998;194824039;367;196103404;3197.495;487060.063;0.918;490258.531
Placas11379.jpg;31;1277494;194848463;293;196126250;3193.735;487121.125;0.733;490315.656
Placas11381.jpg;31;1292032;194821067;207;196113306;3230.080;487052.688;0.517;490283.281
Placas11401.jpg;30;1282476;194846851;305;196129632;3206.190;487117.125;0.762;490324.063
Placas11415.jpg;30;1277448;194833713;209;196111370;3193.620;487084.281;0.522;490278.438
Placas11418.jpg;30;1279608;194831369;197;196111174;3199.020;487078.438;0.493;490277.938
Placas11420.jpg;30;1280522;194770743;351;196051616;3201.305;486926.875;0.877;490129.031
Placas11426.jpg;30;1281986;194927973;303;196210262;3204.965;487319.906;0.757;490525.656
Placas11428.jpg;30;1277988;194805317;317;196083622;3194.970;487013.250;0.793;490209.031
Placas11431.jpg;30;1280530;194760333;229;196041092;3201.325;486900.844;0.572;490102.688
Placas11432.jpg;30;1283392;194851849;273;196135514;3208.480;487129.656;0.683;490338.813
Placas11449.jpg;30;1280466;194786439;295;196067200;3201.165;486966.063;0.738;490168.000
Placas11451.jpg;30;1279932;194752155;289;196032376;3199.830;486880.375;0.723;490080.969
Placas11475.jpg;31;1282487;194797466;303;196080256;3206.217;486993.688;0.757;490200.625
Placas11477.jpg;30;1279318;194797723;351;196077392;3198.295;486994.313;0.877;490193.469
Placas11493.jpg;30;1278804;194829611;231;196108646;3197.010;487074.031;0.577;490271.594
Placas11502.jpg;31;1280596;194758913;307;196039816;3201.490;486897.281;0.767;490099.500
Placas11504.jpg;30;1279100;194777779;275;196057154;3197.750;486944.438;0.687;490142.875
Placas11507.jpg;31;1280814;194821607;195;196102616;3202.035;487054.000;0.488;490256.563
Placas11508.jpg;30;1279246;194778723;247;196058216;3198.115;486946.781;0.618;490145.531
Placas11510.jpg;31;1279183;194838502;207;196117892;3197.958;487096.219;0.517;490294.719
Placas11513.jpg;30;1279574;194835593;323;196115490;3198.935;487089.000;0.808;490288.719
Placas11524.jpg;31;1280516;194784289;361;196065166;3201.290;486960.719;0.902;490162.938
Placas11528.jpg;31;1278386;194898755;195;196177336;3195.965;487246.875;0.488;490443.375
Placas11538.jpg;31;1279795;194772192;205;196052192;3199.488;486930.469;0.512;490130.469
Placas11544.jpg;31;1277065;194811948;303;196089316;3192.663;487029.875;0.757;490223.281
Placas11555.jpg;30;1279989;194883668;201;196163858;3199.972;487209.188;0.502;490409.656
Placas11580.jpg;30;1279735;194773368;257;196053360;3199.337;486933.438;0.642;490133.406
Placas11586.jpg;30;1279815;194823886;207;196103908;3199.538;487059.750;0.517;490259.781
Placas11589.jpg;30;1282199;194694852;585;195977636;3205.498;486737.094;1.462;489944.063
Placas11601.jpg;30;1281680;194751329;205;196033214;3204.200;486878.344;0.512;490083.031
Placasm10027.jpg;31;1271858;194829295;311;196101464;3179.645;487073.250;0.777;490253.688
Placasm10043.jpg;30;1273822;194841071;213;196115106;3184.555;487102.688;0.533;490287.750
Placasm10115.jpg;31;1272758;194871183;307;196144248;3181.895;487177.969;0.767;490360.656
Placasm10140.jpg;30;1274455;194762080;393;196036928;3186.137;486905.219;0.983;490092.313
Placasm10141.jpg;30;1291340;194906611;195;196198146;3228.350;487266.500;0.488;490495.375
Placasm10164.jpg;30;1275794;194863811;301;196139906;3189.485;487159.531;0.752;490349.750
Placasm10167.jpg;30;1276907;194825084;229;196102220;3192.267;487062.719;0.572;490255.531
Placasm10177.jpg;30;1275414;194846821;413;196122648;3188.535;487117.031;1.033;490306.625
Placasm10219.jpg;31;1274553;194696352;227;195971132;3186.383;486740.875;0.567;489927.844
Placasm10220.jpg;31;1281516;194874773;197;196156486;3203.790;487186.906;0.493;490391.188
Placasm10234.jpg;30;1273402;194758809;209;196032420;3183.505;486897.031;0.522;490081.063
Placasm10245.jpg;30;1279658;194730749;265;196010672;3199.145;486826.875;0.663;490026.656
Placasm10260.jpg;30;1272502;194871935;307;196144744;3181.255;487179.875;0.767;490361.813
Placasm10278.jpg;31;1274290;194809675;303;196084268;3185.725;487024.219;0.757;490210.656
Placasm10294.jpg;30;1273684;194875163;317;196149164;3184.210;487187.906;0.793;490372.906
Placasm10297.jpg;30;1275919;194693112;411;195969442;3189.797;486732.781;1.028;489923.594
Placasm10303.jpg;31;1280120;194770027;303;196050450;3200.300;486925.094;0.757;490126.094
Placasm10313.jpg;31;1274368;194835027;355;196109750;3185.920;487087.531;0.887;490274.375
Placasm10349.jpg;31;1279030;194860625;365;196140020;3197.575;487151.563;0.913;490350.031
Placasm10362.jpg;30;1274298;194852105;205;196126608;3185.745;487130.281;0.512;490316.531
Placasm10403.jpg;30;1275297;194916465;305;196192067;3188.242;487291.188;0.762;490480.156
Placasm10408.jpg;30;1279720;194797845;263;196077828;3199.300;486994.594;0.658;490194.563
Placasm10437.jpg;31;1274458;194767297;321;196042076;3186.145;486918.219;0.803;490105.219
Placasm10439.jpg;31;1280051;194790256;289;196070596;3200.127;486975.625;0.723;490176.469
Placasm10491.jpg;31;1272594;194841341;349;196114284;3181.485;487103.344;0.873;490285.688
Placasm10495.jpg;31;1280544;194827061;311;196107916;3201.360;487067.625;0.777;490269.813
Placasm10570.jpg;30;1275862;194840929;305;196117096;3189.655;487102.313;0.762;490292.719
Placasm10585.jpg;31;1282164;194845647;275;196128086;3205.410;487114.125;0.687;490320.219
Placasm10681.jpg;31;1279912;194805643;303;196085858;3199.780;487014.094;0.757;490214.656
Placasm10692.jpg;31;1275922;194747781;395;196024098;3189.805;486869.438;0.988;490060.250
Placasm10730.jpg;30;1280300;194852235;275;196132810;3200.750;487130.625;0.687;490332.063
Placasm10748.jpg;30;1279762;194772843;209;196052814;3199.405;486932.094;0.522;490132.031
Placasm10811.jpg;30;1273361;194737698;215;196011274;3183.402;486844.219;0.538;490028.219
Placasm10813.jpg;30;1274258;194783801;365;196058424;3185.645;486959.531;0.913;490146.063
Placasm10841.jpg;30;1280350;194743161;259;196023770;3200.875;486857.906;0.647;490059.469
Placasm10846.jpg;31;1272987;194799768;273;196073028;3182.468;486999.406;0.683;490182.563
Placasm10907.jpg;32;1279442;194782381;367;196062190;3198.605;486955.969;0.918;490155.469
Placasm11007.jpg;30;1274767;194814910;311;196089988;3186.917;487037.281;0.777;490224.969
Placasm11031.jpg;31;1280309;194845776;229;196126314;3200.772;487114.438;0.572;490315.813
Placasm11041.jpg;31;1274669;194806474;323;196081466;3186.673;487016.188;0.808;490203.656
Placasm11082.jpg;30;1274467;194843312;209;196117988;3186.168;487108.250;0.522;490294.969
Placasm11184.jpg;31;1281003;194839894;259;196121156;3202.507;487099.719;0.647;490302.906
Placasm11213.jpg;31;1274563;194837672;197;196112432;3186.407;487094.156;0.493;490281.094
Placass10023.jpg;30;1274951;194786442;367;196061760;3187.377;486966.125;0.918;490154.406
Placass10031.jpg;31;1278512;194854907;275;196133694;3196.280;487137.281;0.687;490334.219
Placass10033.jpg;31;1273178;194837091;209;196110478;3182.945;487092.688;0.522;490276.188
Placass10036.jpg;30;1282023;194784820;393;196067236;3205.057;486962.063;0.983;490168.094
Placass10047.jpg;31;1278460;194847315;231;196126006;3196.150;487118.281;0.577;490315.031
Placass10049.jpg;31;1278970;194826655;329;196105954;3197.425;487066.656;0.822;490264.906
Placass10050.jpg;31;1282500;194796965;365;196079830;3206.250;486992.406;0.913;490199.563
Placass10061.jpg;31;1280546;194773323;409;196054278;3201.365;486933.313;1.023;490135.656
Placass10064.jpg;31;1274632;194834919;207;196109758;3186.580;487087.281;0.517;490274.406
Placass10072.jpg;30;1279314;194801921;317;196081552;3198.285;487004.781;0.793;490203.875
Placass10077.jpg;31;1278549;194787142;247;196065938;3196.373;486967.844;0.618;490164.813
Placass10078.jpg;30;1274798;194887865;293;196162956;3186.995;487219.656;0.733;490407.406
Placass10081.jpg;30;1276100;194817215;207;196093522;3190.250;487043.031;0.517;490233.813
Placass10088.jpg;30;1279850;194797805;323;196077978;3199.625;486994.500;0.808;490194.969
Placass10090.jpg;30;1281503;194876601;209;196158313;3203.758;487191.531;0.522;490395.813
