Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placas11004.jpg;30;1283138;1157598791;215;1158882144;3207.845;2893997.250;0.538;2897205.500
Placas11017.jpg;31;1282526;1157720733;209;1159003468;3206.315;2894301.500;0.522;2897508.750
Placas11023.jpg;31;1291672;1157631903;179;1158923754;3229.180;2894079.750;0.447;2897309.500
Placas11024.jpg;32;1280588;1157743009;205;1159023802;3201.470;2894357.250;0.512;2897559.500
Placas11050.jpg;31;1280062;1157560483;207;1158840752;3200.155;2893901.000;0.517;2897101.750
Placas11063.jpg;32;1280498;1157517691;225;1158798414;3201.245;2893794.250;0.562;2896996.000
Placas11068.jpg;32;1281774;1157770517;225;1159052516;3204.435;2894426.000;0.562;2897631.250
Placas11077.jpg;32;1278848;1157541747;209;1158820804;3197.120;2893854.250;0.522;2897052.000
Placas11079.jpg;32;1281626;1157627775;195;1158909596;3204.065;2894069.500;0.488;2897273.750
Placas11096.jpg;31;1277764;1157625095;195;1158903054;3194.410;2894062.750;0.488;2897257.750
Placas11117.jpg;30;1280886;1157583845;211;1158864942;3202.215;2893959.750;0.527;2897162.250
Placas11148.jpg;31;1279791;1157600704;205;1158880700;3199.477;2894002.000;0.512;2897201.750
Placas11161.jpg;31;1280914;1157558653;209;1158839776;3202.285;2893896.500;0.522;2897099.500
Placas11190.jpg;31;1282268;1157565753;211;1158848232;3205.670;2893914.500;0.527;2897120.500
Placas11191.jpg;33;1279924;1157561343;203;1158841470;3199.810;2893903.250;0.507;2897103.750
Placas11199.jpg;32;1279900;1157736677;229;1159016806;3199.750;2894342.000;0.572;2897542.000
Placas11221.jpg;31;1280574;1157636777;205;1158917556;3201.435;2894092.000;0.512;2897293.750
Placas11235.jpg;32;1282692;1157462525;193;1158745410;3206.730;2893656.250;0.482;2896863.750
Placas11240.jpg;31;1281180;1157580917;205;1158862302;3202.950;2893952.250;0.512;2897155.750
Placas11241.jpg;31;1279314;1157586729;193;1158866236;3198.285;2893966.750;0.482;2897165.500
Placas11265.jpg;32;1276756;1157750125;205;1159027086;3191.890;2894375.500;0.512;2897567.750
Placas11298.jpg;32;1280465;1157625398;197;1158906060;3201.163;2894063.500;0.493;2897265.250
Placas11299.jpg;30;1281182;1157652179;215;1158933576;3202.955;2894130.500;0.538;2897334.000
Placas11318.jpg;33;1282868;1157741037;205;1159024110;3207.170;2894352.500;0.512;2897560.500
Placas11330.jpg;33;1279292;1157587869;197;1158867358;3198.230;2893969.500;0.493;2897168.250
Placas11334.jpg;31;1279746;1157572023;197;1158851966;3199.365;2893929.750;0.493;2897130.000
Placas11346.jpg;33;1278460;1157566405;209;1158845074;3196.150;2893916.000;0.522;2897112.500
Placas11359.jpg;32;1278498;1157619859;343;1158898700;3196.245;2894049.750;0.858;2897246.750
Placas11377.jpg;31;1278350;1157582659;195;1158861204;3195.875;2893956.750;0.488;2897153.000
Placas11379.jpg;33;1281860;1157670281;233;1158952374;3204.650;2894175.750;0.582;2897381.000
Placas11381.jpg;32;1281356;1157645053;193;1158926602;3203.390;2894112.750;0.482;2897316.500
Placas11401.jpg;31;1278590;1157666825;205;1158945620;3196.475;2894167.000;0.512;2897364.250
Placas11415.jpg;32;1282813;1157634320;205;1158917338;3207.032;2894085.750;0.512;2897293.250
Placas11418.jpg;32;1281660;1157538215;217;1158820092;3204.150;2893845.250;0.543;2897050.500
Placas11420.jpg;32;1278538;1157541055;207;1158819800;3196.345;2893852.250;0.517;2897049.750
Placas11426.jpg;31;1279872;1157615373;209;1158895454;3199.680;2894038.500;0.522;2897238.750
Placas11428.jpg;32;1282786;1157615753;229;1158898768;3206.965;2894039.250;0.572;2897247.000
Placas11431.jpg;33;1279858;1157514885;205;1158794948;3199.645;2893787.250;0.512;2896987.750
Placas11432.jpg;32;1282980;1157686433;201;1158969614;3207.450;2894216.000;0.502;2897423.750
Placas11449.jpg;32;1282818;1157722496;194;1159005508;3207.045;2894306.250;0.485;2897513.750
Placas11451.jpg;32;1280294;1157668135;207;1158948636;3200.735;2894170.000;0.517;2897371.500
Placas11475.jpg;31;1281576;1157644645;201;1158926422;3203.940;2894111.750;0.502;2897316.250
