Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placas11004.jpg;30;1278090;461572509;239;462850838;3195.225;1153931.250;0.598;1157127.125
Placas11017.jpg;30;1280494;461578673;239;462859406;3201.235;1153946.750;0.598;1157148.500
Placas11023.jpg;30;1279270;461499661;239;462779170;3198.175;1153749.125;0.598;1156947.875
Placas11024.jpg;30;1278863;461498062;253;462777178;3197.157;1153745.125;0.632;1156943.000
Placas11050.jpg;31;1279186;461590931;253;462870370;3197.965;1153977.375;0.632;1157175.875
Placas11063.jpg;31;1278974;461538679;241;462817894;3197.435;1153846.750;0.603;1157044.750
Placas11068.jpg;31;1284138;461559371;239;462843748;3210.345;1153898.375;0.598;1157109.375
Placas11077.jpg;30;1282464;461510595;253;462793312;3206.160;1153776.500;0.632;1156983.250
Placas11079.jpg;30;1280432;461530907;253;462811592;3201.080;1153827.250;0.632;1157029.000
Placas11096.jpg;31;1280199;461526430;253;462806882;3200.497;1153816.125;0.632;1157017.250
Placas11117.jpg;30;1281598;461574311;253;462856162;3203.995;1153935.750;0.632;1157140.375
Placas11148.jpg;30;1279183;461600488;239;462879910;3197.958;1154001.125;0.598;1157199.750
Placas11161.jpg;32;1279046;461575567;251;462854864;3197.615;1153938.875;0.627;1157137.125
Placas11190.jpg;30;1276828;461523597;239;462800664;3192.070;1153809.000;0.598;1157001.750
Placas11191.jpg;31;1279488;461593724;248;462873460;3198.720;1153984.250;0.620;1157183.625
Placas11199.jpg;32;1279441;461594296;253;462873990;3198.603;1153985.750;0.632;1157185.000
Placas11221.jpg;30;1279670;461488987;241;462768898;3199.175;1153722.500;0.603;1156922.250
Placas11235.jpg;31;1279446;461545703;241;462825390;3198.615;1153864.250;0.603;1157063.375
Placas11240.jpg;31;1279674;461597937;239;462877850;3199.185;1153994.875;0.598;1157194.625
Placas11241.jpg;31;1281290;461624199;253;462905742;3203.225;1154060.500;0.632;1157264.375
Placas11265.jpg;31;1276718;461558617;251;462835586;3191.795;1153896.625;0.627;1157088.875
Placas11298.jpg;31;1281842;461450439;253;462732534;3204.605;1153626.125;0.632;1156831.375
Placas11299.jpg;30;1281527;461653800;239;462935566;3203.817;1154134.500;0.598;1157338.875
Placas11318.jpg;31;1279646;461498685;251;462778582;3199.115;1153746.750;0.627;1156946.500
Placas11330.jpg;31;1282530;461521015;253;462803798;3206.325;1153802.500;0.632;1157009.500
Placas11334.jpg;31;1282585;461478246;253;462761084;3206.462;1153695.625;0.632;1156902.750
Placas11346.jpg;31;1283286;461465256;248;462748790;3208.215;1153663.125;0.620;1156872.000
Placas11359.jpg;30;1279390;461557291;237;462836918;3198.475;1153893.250;0.592;1157092.250
Placas11377.jpg;31;1280539;461518700;253;462799492;3201.347;1153796.750;0.632;1156998.750
Placas11379.jpg;31;1282298;461545501;251;462828050;3205.745;1153863.750;0.627;1157070.125
Placas11381.jpg;31;1279836;461614779;253;462894868;3199.590;1154037.000;0.632;1157237.125
Placas11401.jpg;31;1279822;461499305;253;462779380;3199.555;1153748.250;0.632;1156948.500
Placas11415.jpg;32;1280336;461640529;251;462921116;3200.840;1154101.375;0.627;1157302.750
Placas11418.jpg;32;1280632;461512009;299;462792940;3201.580;1153780.000;0.748;1156982.375
Placas11420.jpg;31;1280258;461494483;253;462774994;3200.645;1153736.250;0.632;1156937.500
Placas11426.jpg;32;1281648;461578137;239;462860024;3204.120;1153945.375;0.598;1157150.125
Placas11428.jpg;31;1280326;461549171;241;462829738;3200.815;1153873.000;0.603;1157074.375
Placas11431.jpg;31;1278852;461534221;239;462813312;3197.130;1153835.500;0.598;1157033.375
Placas11432.jpg;30;1283087;461439570;251;462722908;3207.718;1153599.000;0.627;1156807.250
Placas11449.jpg;31;1278960;461481907;253;462761120;3197.400;1153704.750;0.632;1156902.750
Placas11451.jpg;31;1280486;461600340;244;462881070;3201.215;1154000.875;0.610;1157202.625
Placas11475.jpg;30;1279362;461554745;239;462834346;3198.405;1153886.875;0.598;1157085.875
Placas11477.jpg;31;1280481;461574560;241;462855282;3201.203;1153936.375;0.603;1157138.250
Placas11493.jpg;31;1278776;461606369;319;462885464;3196.940;1154015.875;0.798;1157213.625
Placas11502.jpg;31;1281288;461557174;246;462838708;3203.220;1153893.000;0.615;1157096.875
Placas11504.jpg;31;1280314;461487917;241;462768472;3200.785;1153719.750;0.603;1156921.125
Placas11507.jpg;32;1281986;461491212;248;462773446;3204.965;1153728.000;0.620;1156933.625
Placas11508.jpg;30;1280830;461550459;253;462831542;3202.075;1153876.125;0.632;1157078.875
Placas11510.jpg;31;1279490;461478729;251;462758470;3198.725;1153696.875;0.627;1156896.125
Placas11513.jpg;31;1281078;461619899;253;462901230;3202.695;1154049.750;0.632;1157253.000
Placas11524.jpg;31;1283120;461597703;253;462881076;3207.800;1153994.250;0.632;1157202.625
Placas11528.jpg;31;1278900;461552509;241;462831650;3197.250;1153881.250;0.603;1157079.125
Placas11538.jpg;31;1280321;461424778;239;462705338;3200.802;1153562.000;0.598;1156763.375
Placas11544.jpg;31;1282072;461516899;253;462799224;3205.180;1153792.250;0.632;1156998.125
Placas11555.jpg;31;1281936;461533099;251;462815286;3204.840;1153832.750;0.627;1157038.250
Placas11580.jpg;31;1279046;461529357;235;462808638;3197.615;1153823.375;0.587;1157021.625
Placas11586.jpg;31;1280752;461507643;241;462788636;3201.880;1153769.125;0.603;1156971.625
Placas11589.jpg;31;1281583;461457256;251;462739090;3203.957;1153643.125;0.627;1156847.750
Placas11601.jpg;31;1281026;461524157;239;462805422;3202.565;1153810.375;0.598;1157013.500
Placasm10027.jpg;31;1277230;461487209;251;462764690;3193.075;1153718.000;0.627;1156911.750
Placasm10043.jpg;31;1275453;461494510;253;462770216;3188.633;1153736.250;0.632;1156925.500
Placasm10115.jpg;32;1273832;461622605;251;462896688;3184.580;1154056.500;0.627;1157241.750
Placasm10140.jpg;30;1273418;461571803;251;462845472;3183.545;1153929.500;0.627;1157113.625
Placasm10141.jpg;31;1280411;461545556;251;462826218;3201.028;1153863.875;0.627;1157065.500
Placasm10164.jpg;32;1276034;461613738;248;462890020;3190.085;1154034.250;0.620;1157225.000
Placasm10167.jpg;31;1279865;461681610;253;462961728;3199.663;1154204.000;0.632;1157404.375
Placasm10177.jpg;31;1277868;461503495;321;462781684;3194.670;1153758.750;0.803;1156954.250
Placasm10219.jpg;31;1274594;461448735;253;462723582;3186.485;1153621.875;0.632;1156808.875
Placasm10220.jpg;31;1280378;461555895;251;462836524;3200.945;1153889.750;0.627;1157091.250
Placasm10234.jpg;32;1276612;461534929;253;462811794;3191.530;1153837.375;0.632;1157029.500
Placasm10245.jpg;31;1279916;461524955;251;462805122;3199.790;1153812.375;0.627;1157012.750
Placasm10260.jpg;31;1273200;461447253;251;462720704;3183.000;1153618.125;0.627;1156801.750
Placasm10278.jpg;30;1275762;461625183;241;462901186;3189.405;1154063.000;0.603;1157252.875
Placasm10294.jpg;31;1276188;461584989;239;462861416;3190.470;1153962.500;0.598;1157153.500
Placasm10297.jpg;31;1276728;461548087;253;462825068;3191.820;1153870.250;0.632;1157062.625
Placasm10303.jpg;31;1278071;461487308;249;462765628;3195.177;1153718.250;0.623;1156914.125
Placasm10313.jpg;31;1274146;461531285;253;462805684;3185.365;1153828.250;0.632;1157014.250
Placasm10349.jpg;31;1277406;461561661;253;462839320;3193.515;1153904.250;0.632;1157098.375
Placasm10362.jpg;32;1278252;461536051;241;462814544;3195.630;1153840.250;0.603;1157036.375
Placasm10403.jpg;30;1277768;461611331;253;462889352;3194.420;1154028.375;0.632;1157223.375
Placasm10408.jpg;31;1282344;461565959;253;462848556;3205.860;1153914.875;0.632;1157121.375
Placasm10437.jpg;31;1274142;461547339;253;462821734;3185.355;1153868.250;0.632;1157054.250
Placasm10439.jpg;30;1280372;461565655;241;462846268;3200.930;1153914.125;0.603;1157115.750
Placasm10491.jpg;31;1276342;461540583;321;462817246;3190.855;1153851.375;0.803;1157043.125
Placasm10495.jpg;31;1279261;461589603;238;462869102;3198.153;1153974.000;0.595;1157172.750
Placasm10570.jpg;32;1275052;461622659;253;462897964;3187.630;1154056.625;0.632;1157244.875
Placasm10585.jpg;31;1280670;461598923;251;462879844;3201.675;1153997.375;0.627;1157199.625
Placasm10681.jpg;31;1279578;461467443;241;462747262;3198.945;1153668.625;0.603;1156868.125
Placasm10692.jpg;31;1276277;461519428;253;462795958;3190.693;1153798.625;0.632;1156990.000
Placasm10730.jpg;31;1281568;461531880;244;462813692;3203.920;1153829.750;0.610;1157034.250
Placasm10748.jpg;31;1281662;461518259;239;462800160;3204.155;1153795.625;0.598;1157000.375
Placasm10811.jpg;31;1278114;461524393;251;462802758;3195.285;1153810.875;0.627;1157006.875
Placasm10813.jpg;31;1274316;461565793;251;462840360;3185.790;1153914.500;0.627;1157100.875
Placasm10841.jpg;32;1280930;461670473;251;462951654;3202.325;1154176.125;0.627;1157379.125
Placasm10846.jpg;30;1273386;461542123;239;462815748;3183.465;1153855.250;0.598;1157039.375
Placasm10907.jpg;30;1278954;461363063;321;462642338;3197.385;1153407.625;0.803;1156605.875
Placasm11007.jpg;31;1277170;461514421;251;462791842;3192.925;1153786.125;0.627;1156979.625
Placasm11031.jpg;31;1280126;461531523;253;462811902;3200.315;1153828.750;0.632;1157029.750
Placasm11041.jpg;32;1275370;461608691;253;462884314;3188.425;1154021.750;0.632;1157210.875
Placasm11082.jpg;31;1275951;461695662;253;462971866;3189.878;1154239.125;0.632;1157429.625
Placasm11184.jpg;32;1279922;461491419;253;462771594;3199.805;1153728.500;0.632;1156929.000
Placasm11213.jpg;31;1274956;461592659;241;462867856;3187.390;1153981.750;0.603;1157169.625
Placass10023.jpg;31;1274522;461628021;251;462902794;3186.305;1154070.000;0.627;1157257.000
Placass10031.jpg;31;1280812;461621475;253;462902540;3202.030;1154053.625;0.632;1157256.250
Placass10033.jpg;31;1273872;461632518;244;462906634;3184.680;1154081.250;0.610;1157266.500
Placass10036.jpg;31;1281107;461564996;251;462846354;3202.768;1153912.500;0.627;1157116.000
Placass10047.jpg;31;1279306;461492673;251;462772230;3198.265;1153731.625;0.627;1156930.500
Placass10049.jpg;32;1279304;461643525;251;462923080;3198.260;1154108.750;0.627;1157307.750
Placass10050.jpg;31;1280950;461489643;241;462770834;3202.375;1153724.125;0.603;1156927.125
Placass10061.jpg;31;1294082;461498429;241;462792752;3235.205;1153746.125;0.603;1156981.875
Placass10064.jpg;32;1277179;461526670;253;462804102;3192.947;1153816.625;0.632;1157010.250
Placass10072.jpg;31;1276718;461669429;241;462946388;3191.795;1154173.500;0.603;1157366.000
Placass10077.jpg;31;1280298;461530309;251;462810858;3200.745;1153825.750;0.627;1157027.125
Placass10078.jpg;31;1273551;461540428;251;462814230;3183.877;1153851.000;0.627;1157035.625
